metric,T,T_prime
success_rate_T_pct,100.00,100.00
runtime_mean_ms,209.51,216.26
runtime_median_ms,103.83,160.80
runtime_p90_ms,471.03,467.80
runtime_p99_ms,1004.26,690.65
join_count_mean,4.63,3.90
join_count_median,3.00,3.00
join_count_emd,0.0000,0.2990
n_tables_mean,4.44,4.90
bytes_read_mean,24629640,129109802
bytes_read_median,22092652,127271870
