query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
q57.sql,False,0.333,call_center|catalog_sales|date_dim|item,catalog_sales|inventory|item|store_returns,call_center|date_dim,inventory|store_returns,4,4,3,ok
q58.sql,False,0.5,date_dim|item|store_sales,item|store_sales|web_sales,date_dim,web_sales,3,3,2,ok
q59.sql,False,0.333,date_dim|store_sales,store_sales|time_dim,date_dim,time_dim,2,2,1,ok
q60.sql,False,0.333,customer_address|date_dim|item|store_sales,date_dim|inventory|store_sales|warehouse,customer_address|item,inventory|warehouse,4,4,3,ok
q61.sql,False,0.3,customer|customer_address|date_dim|item|promotion|store,catalog_sales|customer|customer_address|date_dim|store_returns|web_sales|web_site,item|promotion|store,catalog_sales|store_returns|web_sales|web_site,6,7,6,ok
q62.sql,False,0.333,date_dim|ship_mode|web_sales|web_site,catalog_sales|customer|date_dim|store_returns|web_page|web_returns|web_sales|web_site,ship_mode,catalog_sales|customer|store_returns|web_page|web_returns,4,8,7,ok
q63.sql,False,0.222,avg|date_dim|store|store_sales|sum,date_dim|inventory|item|store_returns|store_sales|warehouse,avg|store|sum,inventory|item|store_returns|warehouse,5,6,5,ok
q64.sql,False,0.333,catalog_returns|catalog_sales,catalog_sales|item,catalog_returns,item,2,2,1,ok
q65.sql,False,0.3,avg|date_dim|item|ss_item_sk|store|sum,customer|date_dim|item|store|store_returns|store_sales|web_sales,avg|ss_item_sk|sum,customer|store_returns|store_sales|web_sales,6,7,6,ok
q66.sql,False,0.1,barian|d_year|date_dim|ship_mode|sum|time_dim|w_city|w_country|w_county|w_state|w_warehouse_sq_ft|warehouse,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|income_band|inventory|item|promotion|store|store_returns|store_sales|time_dim|warehouse|web_page|web_returns|web_sales|web_site,barian|d_year|ship_mode|sum|w_city|w_country|w_county|w_state|w_warehouse_sq_ft,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|household_demographics|income_band|inventory|item|promotion|store|store_returns|store_sales|web_page|web_returns|web_sales|web_site,12,21,36,timeout
q67.sql,False,0.0,d_moy|d_qoy|d_year|i_brand|i_class|i_product_name|rank|s_store_id|sumsales,catalog_page|catalog_returns|catalog_sales|date_dim|household_demographics|inventory|item|store_returns|store_sales|warehouse,d_moy|d_qoy|d_year|i_brand|i_class|i_product_name|rank|s_store_id|sumsales,catalog_page|catalog_returns|catalog_sales|date_dim|household_demographics|inventory|item|store_returns|store_sales|warehouse,9,10,9,timeout
q68.sql,False,0.308,ca_city|customer_address|date_dim|household_demographics|ss_customer_sk|store|sum,customer|customer_address|date_dim|household_demographics|item|store|store_returns|store_sales|web_returns|web_sales,ca_city|ss_customer_sk|sum,customer|item|store_returns|store_sales|web_returns|web_sales,7,10,9,ok
q69.sql,True,1.0,customer|customer_address|customer_demographics,customer|customer_address|customer_demographics,,,3,3,2,ok
q70.sql,False,0.2,date_dim|store|store_sales,customer|store_sales|web_sales,date_dim|store,customer|web_sales,3,3,2,ok
q71.sql,False,0.222,date_dim|item|ws_item_sk|ws_sold_date_sk|ws_sold_time_sk,catalog_returns|catalog_sales|customer|date_dim|item|store_returns,ws_item_sk|ws_sold_date_sk|ws_sold_time_sk,catalog_returns|catalog_sales|customer|store_returns,5,6,5,ok
q72.sql,False,0.667,catalog_returns|catalog_sales|customer_demographics|date_dim|household_demographics|inventory|item|promotion|warehouse,catalog_page|catalog_returns|catalog_sales|customer|customer_demographics|date_dim|inventory|item|promotion|warehouse|web_sales,household_demographics,catalog_page|customer|web_sales,9,11,10,ok
q73.sql,False,0.375,count|date_dim|household_demographics|ss_customer_sk|store,customer|date_dim|household_demographics|store|store_returns|store_sales,count|ss_customer_sk,customer|store_returns|store_sales,5,6,5,ok
q74.sql,False,0.5,customer|date_dim|store_sales,customer|customer_address|store_sales,date_dim,customer_address,3,3,2,ok
q75.sql,False,0.208,catalog_returns|cs_ext_sales_price|cs_quantity|date_dim|i_brand_id|i_category_id|i_class_id|i_manufact_id|item|store_returns|web_returns,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|income_band|inventory|item|promotion|store|store_returns|store_sales|web_page|web_returns|web_sales,cs_ext_sales_price|cs_quantity|i_brand_id|i_category_id|i_class_id|i_manufact_id,catalog_page|catalog_sales|customer|customer_address|customer_demographics|household_demographics|income_band|inventory|promotion|store|store_sales|web_page|web_sales,11,18,17,timeout
q76.sql,False,0.167,d_qoy|d_year|date_dim|i_category|item|ss_ext_sales_price,catalog_sales|customer_address|date_dim|item|store|store_returns|store_sales|web_sales,d_qoy|d_year|i_category|ss_ext_sales_price,catalog_sales|customer_address|store|store_returns|store_sales|web_sales,6,8,7,ok
q77.sql,False,0.25,date_dim|sr|store|store_sales|wr,customer|customer_address|date_dim|store_sales|web_returns,sr|store|wr,customer|customer_address|web_returns,5,5,4,ok
q78.sql,False,0.231,catalog_returns|cs|date_dim|store_returns|web_returns|web_sales|ws,catalog_sales|customer_demographics|date_dim|inventory|item|store|store_returns|store_sales|web_sales,catalog_returns|cs|web_returns|ws,catalog_sales|customer_demographics|inventory|item|store|store_sales,7,9,8,ok
q79.sql,False,0.3,date_dim|household_demographics|ss_customer_sk|store|sum,customer|date_dim|household_demographics|income_band|store|store_returns|store_sales|web_sales,ss_customer_sk|sum,customer|income_band|store_returns|store_sales|web_sales,5,8,7,ok
q80.sql,False,0.143,catalog_returns|store_returns|store_sales|web_returns,customer|household_demographics|income_band|store_sales,catalog_returns|store_returns|web_returns,customer|household_demographics|income_band,4,4,3,ok
q81.sql,False,0.5,catalog_returns|customer_address|date_dim,catalog_returns|catalog_sales|date_dim,customer_address,catalog_sales,3,3,2,ok
q82.sql,True,1.0,date_dim|inventory|item|store_sales,date_dim|inventory|item|store_sales,,,4,4,3,ok
q83.sql,False,0.2,date_dim|item|store_returns,customer|customer_demographics|store_returns,date_dim|item,customer|customer_demographics,3,3,2,ok
q84.sql,False,0.714,customer|customer_address|customer_demographics|household_demographics|income_band|store_returns,customer|customer_address|customer_demographics|household_demographics|store_returns|web_sales,income_band,web_sales,6,6,5,ok
q85.sql,False,0.5,customer_address|customer_demographics|date_dim|reason|web_page|web_returns|web_sales,catalog_sales|customer_address|customer_demographics|item|store_sales|web_page|web_returns|web_sales,date_dim|reason,catalog_sales|item|store_sales,7,8,7,ok
q86.sql,False,0.2,date_dim|item|web_sales,customer|store_returns|web_sales,date_dim|item,customer|store_returns,3,3,2,ok
q87.sql,False,0.286,c_first_name|customer|d_date|date_dim,customer|customer_demographics|date_dim|inventory|store_sales,c_first_name|d_date,customer_demographics|inventory|store_sales,4,5,4,ok
q88.sql,False,0.4,household_demographics|store|time_dim,household_demographics|store_sales|time_dim|web_sales,store,store_sales|web_sales,3,4,3,ok
q89.sql,False,0.143,avg|d_moy|date_dim|i_brand|i_class|s_company_name|s_store_name|store|store_sales|sum,catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|income_band|item|store|store_returns|store_sales|web_page|web_returns|web_sales,avg|d_moy|i_brand|i_class|s_company_name|s_store_name|sum,catalog_sales|customer|customer_address|customer_demographics|household_demographics|income_band|item|store_returns|web_page|web_returns|web_sales,10,14,13,ok
q90.sql,False,0.4,household_demographics|time_dim|web_page,household_demographics|income_band|store_sales|time_dim,web_page,income_band|store_sales,3,4,3,ok
q91.sql,False,0.556,call_center|catalog_returns|customer|customer_address|customer_demographics|date_dim|household_demographics,catalog_returns|customer|customer_address|customer_demographics|date_dim|item|web_sales,call_center|household_demographics,item|web_sales,7,7,6,ok
q92.sql,False,0.5,date_dim|item|web_sales,item|web_page|web_sales,date_dim,web_page,3,3,2,ok
q93.sql,False,0.125,case|ss_customer_sk|ss_ticket_number|store_returns,catalog_sales|household_demographics|item|store_returns|web_sales,case|ss_customer_sk|ss_ticket_number,catalog_sales|household_demographics|item|web_sales,4,5,4,ok
q94.sql,False,0.333,customer_address|date_dim|web_sales|web_site,catalog_page|catalog_sales|date_dim|web_sales,customer_address|web_site,catalog_page|catalog_sales,4,4,3,ok
q95.sql,False,0.5,web_sales,date_dim|web_sales,,date_dim,1,2,1,ok
q96.sql,False,0.6,household_demographics|store|store_sales|time_dim,store|store_returns|store_sales|time_dim,household_demographics,store_returns,4,4,3,timeout
q97.sql,False,0.2,csci|date_dim|store_sales,customer|household_demographics|store_sales,csci|date_dim,customer|household_demographics,3,3,2,ok
q98.sql,False,0.5,date_dim|item|store_sales,date_dim|store_sales|web_returns,item,web_returns,3,3,2,ok
q99.sql,False,0.2,call_center|catalog_sales|date_dim|ship_mode,catalog_returns|catalog_sales|customer|customer_address|date_dim|item|store_returns|web_sales,call_center|ship_mode,catalog_returns|customer|customer_address|item|store_returns|web_sales,4,8,7,ok
