query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
q01.sql,dd06b0b7,1,store_returns|date_dim,2,4048606,90.32,100,ok,
q02.sql,a8073d02,11,ws_ext_sales_price|cs_ext_sales_price|wswscs|sum|date_dim,5,1492980,103.29,2513,ok,
q03.sql,4f3a62e9,2,date_dim|store_sales|item,3,39356232,87.44,89,ok,
q04.sql,2cad2d98,2,customer|store_sales|date_dim,3,40506232,933.86,6,ok,
q05.sql,c977cb7b,17,web_sales|ss_sold_date_sk|ss_ext_sales_price|ss_net_profit|cast|sr_returned_date_sk|sr_return_amt|sr_net_loss|date_dim|store,10,11588836,185.12,100,ok,
q06.sql,7e4fe4cd,4,customer_address|customer|store_sales|date_dim|item,5,41706232,88.89,46,ok,
q07.sql,b9c97102,4,store_sales|customer_demographics|date_dim|item|promotion,5,50890032,122.9,100,ok,
q08.sql,42dd202b,5,store_sales|date_dim|store,3,38906712,267.69,5,ok,
q09.sql,488bc66d,0,store_sales,1,37445252,54.62,1,ok,
q10.sql,28565af2,2,customer|customer_address|customer_demographics,3,13874800,99.15,6,ok,
q11.sql,60cff8c1,2,customer|store_sales|date_dim,3,40506232,473.12,90,ok,
q12.sql,13a40079,2,web_sales|item|date_dim,3,11982356,105.45,100,ok,
q13.sql,cfb2a361,5,store_sales|store|customer_demographics|household_demographics|customer_address|date_dim,6,51210312,93.35,1,ok,
q14.sql,3a2ad6f3,5,item|iss|date_dim,3,1918980,480.95,100,ok,
q15.sql,f393096f,3,catalog_sales|customer|customer_address|date_dim,4,23992652,57.63,100,ok,
q16.sql,a16df075,3,catalog_sales|date_dim|customer_address|call_center,4,22400652,62.55,1,ok,
q17.sql,845cd66f,7,store_sales|store_returns|catalog_sales|date_dim|store|item,6,62126010,61.98,0,ok,
q18.sql,eeef17ee,6,catalog_sales|customer_demographics|customer|customer_address|date_dim|item,6,35967452,224.23,100,ok,
q19.sql,ba1068c7,5,date_dim|store_sales|item|customer|customer_address|store,6,41706712,77.86,100,ok,
q20.sql,563b2cbe,2,catalog_sales|item|date_dim,3,22092652,68.16,100,ok,
q21.sql,03a03888,6,i_item_id|sum|warehouse|item|date_dim,5,1927080,50.6,100,ok,
q22.sql,fee0a108,2,inventory|date_dim|item,3,37145980,476.62,100,ok,
q23.sql,3e3a3c2c,5,store_sales|date_dim,2,38906232,615.06,4,ok,
q24.sql,02976093,5,store_sales|store_returns|store|item|customer|customer_address,6,42833358,85.48,1,ok,
q25.sql,81846e91,7,store_sales|store_returns|catalog_sales|date_dim|store|item,6,62126010,62.34,1,ok,
