query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
q56.sql,6dd68dd0,4,"2,10,12,13",3,40.106,60.04,100,ok,
q57.sql,4eac91fd,4,"0,4,10,13",3,22.101,279.03,100,ok,
q58.sql,32790145,3,"2,10,13",2,39.356,134.85,5,ok,
q59.sql,67c72667,2,"2,10",1,38.906,306.54,100,ok,
q60.sql,997f4dd6,4,"2,10,12,13",3,40.106,76.58,100,ok,
q61.sql,8b3d981a,6,"8,10,12,13,16,22",6,4.27,67.79,1,ok,
q62.sql,5f3724b7,4,"5,10,19,21",7,11.533,50.55,100,ok,
q63.sql,bf227242,5,"0,2,10,22",5,38.923,66.56,100,ok,
q64.sql,46987dd5,2,"4,7",1,21.478,300.91,2,ok,
q65.sql,8952e8bd,6,"0,10,13,22",6,1.935,215.34,100,ok,
q66.sql,423525a9,12,"0,9,10,21,23",36,2.044,92.33,5,ok,
q67.sql,0cbfdead,9,0,9,0.072,2131.96,100,ok,
q68.sql,e0824137,7,"0,10,12,15,22",9,2.264,142.99,100,ok,
q69.sql,1df874b1,3,"3,8,12",2,13.875,100.12,100,ok,
q70.sql,bcc81853,3,"2,10,22",2,38.907,123.15,3,ok,
q71.sql,772da69d,5,"0,10,13",5,1.935,72.63,1031,ok,
q72.sql,b1fdff69,9,"1,3,4,7,10,13,15,16,23",10,70.187,178.94,100,ok,
q73.sql,e7145f81,5,"0,10,15,22",5,1.506,58.79,1,ok,
q74.sql,95d94181,3,"2,8,10",2,40.506,532.17,92,ok,
q75.sql,10f55291,11,"0,6,7,10,11,13",17,6.489,266.74,100,ok,
q76.sql,bc811bf0,6,"0,10,13",7,1.943,97.72,100,ok,
q77.sql,5ce80a06,5,"0,2,10,22",4,38.923,62.21,44,ok,
q78.sql,64b7f7e7,7,"0,5,6,7,10,11",8,16.078,587.22,100,ok,
q79.sql,146de5ce,5,"0,10,15,22",7,1.506,110.95,100,ok,
q80.sql,070a85f4,4,"2,6,7,11",3,41.975,191.48,100,ok,
q81.sql,e89b021a,3,"7,10,12",2,3.508,115.1,100,ok,
