query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
1a.sql,c6a7b723,4,date_dim|item|warehouse|web_sales|inventory,5,47217456,1202.64,1,ok,,4,62253403
1b.sql,76178789,4,date_dim|item|warehouse|catalog_returns|inventory,5,38442683,550.67,1,ok,,4,62253403
1c.sql,ab4b1567,4,date_dim|item|warehouse|web_returns|inventory,5,37791947,1032.39,1,ok,,4,62253403
1d.sql,fdf5b167,4,date_dim|item|warehouse|catalog_sales|inventory,5,57327752,1343.92,1,ok,,4,62253403
20a.sql,c8b91e98,9,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,10,109374476,30005.75,,error,Query interrupted,9,340237115
20b.sql,b9bd0e10,9,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,10,109374476,30007.37,,error,Query interrupted,9,340237115
20c.sql,1811559f,9,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,10,109374476,30001.29,,error,Query interrupted,9,340237115
21a.sql,8efda945,8,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|inventory,9,108077873,30003.37,,error,Query interrupted,8,365042328
21b.sql,29898d75,8,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,9,71929224,30005.7,,error,Query interrupted,8,365042328
21c.sql,77087cbd,8,date_dim|item|warehouse|store_sales|web_sales|store_returns|web_returns|catalog_returns|inventory,9,89192804,30002.92,,error,Query interrupted,8,365042328
22a.sql,d2a036bb,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|inventory,11,110974476,30011.55,,error,Query interrupted,10,375962937
22b.sql,f9a165a2,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|inventory,11,110974476,30004.19,,error,Query interrupted,10,375962937
22c.sql,ff6eb308,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer_address|inventory,11,110124476,30003.06,,error,Query interrupted,10,375962937
22d.sql,1787f7dd,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|inventory,11,110974476,30001.84,,error,Query interrupted,10,375962937
23a.sql,b227f33c,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|inventory,11,110974476,30005.43,,error,Query interrupted,10,365463009
23b.sql,e004254b,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|inventory,11,110974476,30012.5,,error,Query interrupted,10,365463009
23c.sql,1a67c743,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|promotion|inventory,11,109383476,30005.11,,error,Query interrupted,10,365463009
