query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
26a.sql,False,0.0,cast_info|char_name|comp_cast_type|complete_cast|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,catalog_page|catalog_returns|catalog_sales|customer|customer_demographics|date_dim|household_demographics|item|store_returns|store_sales|time_dim|web_returns,cast_info|char_name|comp_cast_type|complete_cast|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,catalog_page|catalog_returns|catalog_sales|customer|customer_demographics|date_dim|household_demographics|item|store_returns|store_sales|time_dim|web_returns,11,12,11,ok
26b.sql,False,0.0,cast_info|char_name|comp_cast_type|complete_cast|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,catalog_returns|catalog_sales|customer|date_dim|household_demographics|item|promotion|store_returns|store_sales|web_returns|web_sales|web_site,cast_info|char_name|comp_cast_type|complete_cast|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,catalog_returns|catalog_sales|customer|date_dim|household_demographics|item|promotion|store_returns|store_sales|web_returns|web_sales|web_site,11,12,11,ok
26c.sql,False,0.0,cast_info|char_name|comp_cast_type|complete_cast|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,catalog_page|catalog_returns|catalog_sales|customer|customer_demographics|date_dim|inventory|item|store_returns|store_sales|web_returns|web_sales,cast_info|char_name|comp_cast_type|complete_cast|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,catalog_page|catalog_returns|catalog_sales|customer|customer_demographics|date_dim|inventory|item|store_returns|store_sales|web_returns|web_sales,11,12,11,ok
27a.sql,False,0.0,comp_cast_type|company_name|company_type|complete_cast|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,catalog_sales|customer|customer_demographics|date_dim|household_demographics|income_band|item|promotion|store_sales|web_page|web_returns|web_sales,comp_cast_type|company_name|company_type|complete_cast|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,catalog_sales|customer|customer_demographics|date_dim|household_demographics|income_band|item|promotion|store_sales|web_page|web_returns|web_sales,11,12,11,ok
27b.sql,False,0.0,comp_cast_type|company_name|company_type|complete_cast|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,catalog_page|catalog_returns|catalog_sales|customer_address|customer_demographics|date_dim|household_demographics|item|promotion|store_sales|web_returns|web_sales,comp_cast_type|company_name|company_type|complete_cast|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,catalog_page|catalog_returns|catalog_sales|customer_address|customer_demographics|date_dim|household_demographics|item|promotion|store_sales|web_returns|web_sales,11,12,11,ok
27c.sql,False,0.0,comp_cast_type|company_name|company_type|complete_cast|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,catalog_sales|customer|customer_demographics|date_dim|household_demographics|inventory|item|store_returns|store_sales|time_dim|web_page|web_returns,comp_cast_type|company_name|company_type|complete_cast|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,catalog_sales|customer|customer_demographics|date_dim|household_demographics|inventory|item|store_returns|store_sales|time_dim|web_page|web_returns,11,12,11,ok
28a.sql,False,0.0,comp_cast_type|company_name|company_type|complete_cast|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|inventory|item|store|store_returns|store_sales|warehouse|web_sales|web_site,comp_cast_type|company_name|company_type|complete_cast|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|inventory|item|store|store_returns|store_sales|warehouse|web_sales|web_site,12,14,13,ok
28b.sql,False,0.0,comp_cast_type|company_name|company_type|complete_cast|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,catalog_sales|customer|customer_address|customer_demographics|date_dim|inventory|item|promotion|store|store_returns|store_sales|warehouse|web_returns|web_sales,comp_cast_type|company_name|company_type|complete_cast|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,catalog_sales|customer|customer_address|customer_demographics|date_dim|inventory|item|promotion|store|store_returns|store_sales|warehouse|web_returns|web_sales,12,14,13,ok
28c.sql,False,0.0,comp_cast_type|company_name|company_type|complete_cast|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|household_demographics|item|store|store_returns|store_sales|web_page|web_returns|web_sales,comp_cast_type|company_name|company_type|complete_cast|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|household_demographics|item|store|store_returns|store_sales|web_page|web_returns|web_sales,12,14,13,ok
29a.sql,False,0.0,aka_name|cast_info|char_name|comp_cast_type|company_name|complete_cast|info_type|keyword|movie_companies|movie_info|movie_keyword|name|person_info|role_type|title,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|inventory|item|promotion|store|store_returns|store_sales|web_page|web_returns|web_sales,aka_name|cast_info|char_name|comp_cast_type|company_name|complete_cast|info_type|keyword|movie_companies|movie_info|movie_keyword|name|person_info|role_type|title,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|inventory|item|promotion|store|store_returns|store_sales|web_page|web_returns|web_sales,15,17,16,ok
29b.sql,False,0.0,aka_name|cast_info|char_name|comp_cast_type|company_name|complete_cast|info_type|keyword|movie_companies|movie_info|movie_keyword|name|person_info|role_type|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|income_band|inventory|item|promotion|store|store_returns|store_sales|web_page|web_returns|web_sales,aka_name|cast_info|char_name|comp_cast_type|company_name|complete_cast|info_type|keyword|movie_companies|movie_info|movie_keyword|name|person_info|role_type|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|income_band|inventory|item|promotion|store|store_returns|store_sales|web_page|web_returns|web_sales,15,17,16,ok
