query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
q73.sql,e7145f81,5,ss_customer_sk|count|date_dim|store|household_demographics,5,1506260,116.86,1,ok,
q74.sql,95d94181,2,customer|store_sales|date_dim,3,40506232,775.8,92,ok,
q75.sql,10f55291,17,item|date_dim|catalog_returns|store_returns|web_returns|i_brand_id|i_class_id|i_category_id|i_manufact_id|cs_quantity|cs_ext_sales_price,11,6489076,477.77,100,ok,
q76.sql,bc811bf0,7,d_year|d_qoy|i_category|ss_ext_sales_price|item|date_dim,6,1942980,96.49,100,ok,
q77.sql,5ce80a06,4,sr|wr|store_sales|date_dim|store,5,38922712,76.95,44,ok,
q78.sql,64b7f7e7,8,web_returns|date_dim|catalog_returns|store_returns|ws|cs|web_sales,7,16078452,695.5,100,ok,
q79.sql,146de5ce,7,ss_customer_sk|store|sum|date_dim|household_demographics,5,1506260,118.79,100,ok,
q80.sql,070a85f4,3,store_returns|catalog_returns|web_returns|store_sales,4,41975348,134.04,100,ok,
q81.sql,e89b021a,2,catalog_returns|date_dim|customer_address,3,3507583,96.34,100,ok,
q82.sql,4713f85f,3,item|inventory|date_dim|store_sales,4,74591232,24.26,2,ok,
q83.sql,5a0e1825,2,store_returns|item|date_dim,3,4498606,27.2,24,ok,
q84.sql,7a99d437,5,customer|customer_address|customer_demographics|household_demographics|income_band|store_returns,6,16491286,45.26,16,ok,
q85.sql,29dba323,7,web_sales|web_returns|web_page|customer_demographics|customer_address|date_dim|reason,7,24454203,121.63,1,ok,
q86.sql,55ac95df,2,web_sales|date_dim|item,3,11982356,60.29,100,ok,
q87.sql,4b6c2657,4,c_first_name|d_date|date_dim|customer,4,3076980,279.33,1,ok,
q88.sql,281b9b71,3,household_demographics|time_dim|store,3,547680,266.36,1,ok,
q89.sql,c94f5641,13,i_class|i_brand|s_store_name|s_company_name|d_moy|sum|avg|store_sales|date_dim|store,10,38962712,137.46,100,ok,
q90.sql,3adf7b05,3,household_demographics|time_dim|web_page,3,548100,35.9,1,ok,
q91.sql,6363c057,6,call_center|catalog_returns|date_dim|customer|customer_address|customer_demographics|household_demographics,7,16669183,89.66,2,ok,
q92.sql,c48683e7,2,web_sales|item|date_dim,3,11982356,62.49,1,ok,
q93.sql,406abffe,4,store_returns|ss_ticket_number|ss_customer_sk|case,4,2611626,253.13,100,ok,
q94.sql,0d30ba56,3,web_sales|date_dim|customer_address|web_site,4,12283256,50.02,1,ok,
q95.sql,37e2298f,1,web_sales,1,10071376,967.97,1,ok,
q96.sql,b5000cb8,3,store_sales|household_demographics|time_dim|store,4,37992932,48.9,1,ok,
q97.sql,011c8c0c,2,csci|store_sales|date_dim,3,38914232,351.48,1,ok,
q98.sql,068bddc8,2,store_sales|item|date_dim,3,39356232,154.5,2521,ok,
q99.sql,13a10ce8,7,catalog_sales|ship_mode|call_center|date_dim,4,21650812,153.75,90,ok,
