metric,T,T_prime
success_rate_T_pct,94.78,98.26
runtime_mean_ms,997.70,3024.97
runtime_median_ms,598.03,213.23
runtime_p90_ms,2337.50,5545.01
runtime_p99_ms,4202.80,50000.39
join_count_mean,7.51,7.51
join_count_median,7.00,7.00
join_count_emd,0.0000,0.0000
n_tables_mean,7.89,8.51
bytes_read_mean,347821039,427357051
bytes_read_median,352739927,365463009
