query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
20a.sql,367e2447,9,comp_cast_type|title|movie_companies|movie_info|cast_info|char_name|kind_type|movie_link|movie_keyword|complete_cast,10,611028774,986.95,362,ok,,9,340237115
20b.sql,b648aff6,9,comp_cast_type|title|cast_info|role_type|movie_keyword|aka_title|movie_link|movie_info|keyword|complete_cast,10,565247802,3012.03,61,ok,,9,340237115
20c.sql,7afcc0f4,9,comp_cast_type|title|movie_info|movie_companies|aka_title|kind_type|movie_info_idx|company_type|company_name|complete_cast,10,367279880,88.56,7,ok,,9,340237115
21a.sql,85575e15,8,movie_companies|company_type|title|movie_link|aka_title|complete_cast|comp_cast_type|cast_info|company_name,9,277111238,192.39,3,ok,,8,365042328
21b.sql,67f0c150,8,movie_companies|company_type|title|movie_info|kind_type|cast_info|char_name|name|company_name,9,644989023,1337.56,0,ok,,8,365042328
21c.sql,c65e9306,8,movie_companies|title|aka_title|kind_type|movie_link|movie_info|movie_keyword|info_type|company_name,9,369391357,84.22,55,ok,,8,365042328
22a.sql,53045012,10,movie_companies|title|movie_info_idx|cast_info|char_name|kind_type|company_type|aka_title|movie_keyword|role_type|company_name,11,332466396,6153.24,0,ok,,10,375962937
22b.sql,a858c83c,10,movie_companies|company_type|title|movie_info_idx|info_type|cast_info|kind_type|movie_keyword|movie_info|person_info|company_name,11,666447241,12.09,0,ok,,10,375962937
22c.sql,eaf94d17,10,movie_companies|title|aka_title|cast_info|role_type|movie_info|name|company_type|movie_keyword|keyword|company_name,11,633652873,34684.86,,timeout,INTERRUPT Error: Interrupted!,10,375962937
22d.sql,55777b6f,10,movie_companies|company_type|title|aka_title|complete_cast|movie_link|movie_info_idx|kind_type|movie_keyword|comp_cast_type|company_name,11,84257258,109.95,91,ok,,10,375962937
23a.sql,9953664d,10,comp_cast_type|title|movie_info_idx|info_type|movie_link|cast_info|movie_info|movie_companies|company_name|movie_keyword|complete_cast,11,593015959,275.76,0,ok,,10,365463009
23b.sql,2e3da328,10,comp_cast_type|title|movie_info_idx|info_type|cast_info|name|aka_title|movie_keyword|kind_type|movie_info|complete_cast,11,620937464,635.9,0,ok,,10,365463009
23c.sql,7c242b61,10,title|movie_companies|movie_keyword|aka_title|company_name|company_type|movie_link|cast_info|name|link_type|complete_cast,11,336525457,293.43,2,ok,,10,365463009
24a.sql,0cf66b83,11,name|person_info|info_type|movie_info|title|movie_link|movie_keyword|cast_info|link_type|aka_title|char_name|aka_name,12,725787948,365.33,0,ok,,11,670450630
24b.sql,5cdf6a23,11,name|person_info|cast_info|role_type|info_type|movie_info_idx|movie_info|title|char_name|complete_cast|aka_title|aka_name,12,723676782,625.58,0,ok,,11,670450630
25a.sql,38f98b3e,8,role_type|name|person_info|title|movie_companies|movie_info|aka_title|complete_cast|cast_info,9,691289689,1179.52,435,ok,,8,616048378
25b.sql,58f129ad,8,title|role_type|complete_cast|kind_type|movie_keyword|keyword|movie_info|movie_link|cast_info,9,559825728,4631.5,5430,ok,,8,616048378
25c.sql,7e4d89f9,8,name|role_type|char_name|title|movie_info|complete_cast|movie_link|comp_cast_type|cast_info,9,622426363,730.51,6107,ok,,8,616048378
26a.sql,a1ae6ee1,11,title|kind_type|movie_companies|cast_info|char_name|company_type|movie_keyword|keyword|aka_title|movie_info_idx|movie_info|complete_cast,12,628444506,1575.27,0,ok,,11,351277734
26b.sql,82b0fdc6,11,title|aka_title|cast_info|kind_type|movie_companies|company_name|char_name|movie_link|movie_info|role_type|link_type|complete_cast,12,605229086,2294.37,5,ok,,11,351277734
26c.sql,a8049f32,11,comp_cast_type|title|movie_link|cast_info|movie_info|info_type|aka_title|person_info|movie_info_idx|char_name|movie_companies|complete_cast,12,688011269,72.54,0,ok,,11,351277734
27a.sql,b31af98e,11,title|aka_title|movie_link|kind_type|movie_info|info_type|comp_cast_type|person_info|link_type|movie_keyword|name|complete_cast,12,466642744,476.55,0,ok,,11,365582680
27b.sql,f481a870,11,title|movie_keyword|movie_info|movie_info_idx|comp_cast_type|info_type|kind_type|movie_companies|aka_title|person_info|company_name|complete_cast,12,454943601,34261.49,,timeout,INTERRUPT Error: Interrupted!,11,365582680
27c.sql,e2344137,11,comp_cast_type|title|movie_link|movie_info|link_type|info_type|movie_info_idx|movie_companies|company_name|movie_keyword|cast_info|complete_cast,12,593015995,32141.58,,timeout,INTERRUPT Error: Interrupted!,11,365582680
28a.sql,f53938fb,13,comp_cast_type|title|movie_companies|company_type|kind_type|company_name|movie_link|aka_title|movie_info_idx|movie_info|movie_keyword|keyword|info_type|complete_cast,14,382045357,35655.75,,timeout,INTERRUPT Error: Interrupted!,13,376503289
28b.sql,b64e7533,13,title|movie_info_idx|movie_info|kind_type|cast_info|comp_cast_type|info_type|aka_title|role_type|name|person_info|movie_keyword|char_name|complete_cast,14,726432478,35761.8,,timeout,INTERRUPT Error: Interrupted!,13,376503289
28c.sql,40c2bdca,13,title|movie_info_idx|aka_title|cast_info|comp_cast_type|char_name|kind_type|info_type|movie_keyword|movie_info|person_info|name|role_type|complete_cast,14,726432478,19.3,0,ok,,13,376503289
29a.sql,a96088d3,16,name|person_info|cast_info|title|movie_info|movie_companies|movie_link|info_type|role_type|movie_info_idx|char_name|aka_title|company_type|complete_cast|kind_type|company_name|aka_name,17,747019794,270.63,0,ok,,16,745082582
29b.sql,278d2b7b,16,name|cast_info|title|movie_info|complete_cast|aka_title|char_name|info_type|movie_companies|comp_cast_type|person_info|kind_type|movie_info_idx|movie_keyword|role_type|company_name|aka_name,17,760471596,14.79,0,ok,,16,745082582
29c.sql,55102448,16,name|person_info|info_type|cast_info|char_name|role_type|movie_info|title|complete_cast|comp_cast_type|movie_link|movie_info_idx|movie_keyword|movie_companies|kind_type|company_type|aka_name,17,752819542,116.93,0,ok,,16,745082582
2a.sql,b6c2b9a3,4,movie_companies|company_type|title|movie_link|company_name,5,53682742,62.18,1328,ok,,4,68207896
2b.sql,aed21b9f,4,movie_companies|company_type|title|movie_info_idx|company_name,5,64603034,194.83,156,ok,,4,68207896
2c.sql,cda6fdaa,4,movie_companies|company_type|title|cast_info|company_name,5,271028818,1646.22,51727,ok,,4,68207896
2d.sql,6071a1f6,4,movie_companies|title|movie_keyword|company_type|company_name,5,67134544,357.88,4438,ok,,4,68207896
30a.sql,9b89ed0e,11,comp_cast_type|title|cast_info|char_name|movie_link|movie_companies|name|role_type|person_info|company_type|company_name|complete_cast,12,423026573,828.01,0,ok,,11,616588730
30b.sql,4b98c7c4,11,title|movie_companies|movie_link|comp_cast_type|movie_keyword|link_type|company_type|movie_info|cast_info|movie_info_idx|role_type|complete_cast,12,590665718,202.73,0,ok,,11,616588730
30c.sql,f75f50c8,11,title|movie_keyword|movie_info_idx|movie_link|comp_cast_type|aka_title|keyword|movie_info|movie_companies|info_type|kind_type|complete_cast,12,379695379,1749.77,54,ok,,11,616588730
31a.sql,7be67791,10,char_name|role_type|title|movie_link|kind_type|name|person_info|movie_keyword|aka_name|aka_title|cast_info,11,429073211,1028.42,275,ok,,10,639271380
31b.sql,8bc7e364,10,name|title|aka_title|complete_cast|movie_link|char_name|movie_companies|comp_cast_type|movie_info|movie_keyword|cast_info,11,662293241,184.03,0,ok,,10,639271380
31c.sql,277507e9,10,role_type|title|name|movie_keyword|movie_info|kind_type|movie_link|keyword|person_info|aka_name|cast_info,11,690035501,31024.23,,timeout,INTERRUPT Error: Interrupted!,10,639271380
32a.sql,227e16a4,5,movie_keyword|title|kind_type|aka_title|complete_cast|keyword,6,50947332,30028.34,,timeout,INTERRUPT Error: Interrupted!,5,45104918
32b.sql,abb79b39,5,movie_keyword|title|complete_cast|movie_info|kind_type|keyword,6,342239652,217.88,21325,ok,,5,45104918
33a.sql,905693f8,13,movie_companies|title|cast_info|movie_link|kind_type|aka_title|movie_info|company_type|info_type|role_type|link_type|person_info|name|company_name,14,693219700,5010.5,0,ok,,13,64723403
33b.sql,ee5f8866,13,movie_companies|company_type|title|movie_info|movie_link|link_type|kind_type|aka_title|movie_keyword|complete_cast|movie_info_idx|keyword|info_type|company_name,14,382045385,121.68,0,ok,,13,64723403
33c.sql,f2a10418,13,movie_companies|title|aka_title|movie_keyword|kind_type|cast_info|keyword|movie_link|link_type|char_name|movie_info|movie_info_idx|complete_cast|company_name,14,630914492,161.57,0,ok,,13,64723403
3a.sql,4eedf261,3,movie_keyword|title|movie_companies|keyword,4,65857926,1114.66,120440,ok,,3,341699294
3b.sql,e140475c,3,movie_keyword|title|kind_type|keyword,4,44984908,90.05,21236,ok,,3,341699294
3c.sql,f4d86287,3,movie_keyword|title|movie_companies|keyword,4,65857926,1101.18,120485,ok,,3,341699294
4a.sql,34967f87,4,person_info|movie_info_idx|movie_info|name|info_type,5,427689020,182.55,0,ok,,4,56025513
4b.sql,0860e401,4,person_info|movie_info_idx|title|kind_type|info_type,5,115471977,2.49,0,ok,,4,56025513
4c.sql,2502e159,4,person_info|movie_info|title|movie_info_idx|info_type,5,412186363,196.76,0,ok,,4,56025513
5a.sql,5dadf544,4,movie_companies|title|movie_link|complete_cast|company_type,5,51873116,31.66,2,ok,,4,347927523
5b.sql,ba02fad7,4,movie_companies|company_name|title|movie_info_idx|company_type,5,64603034,594.0,2,ok,,4,347927523
5c.sql,0840b5c4,4,movie_companies|company_name|title|movie_info|company_type,5,350277154,1893.78,2,ok,,4,347927523
6a.sql,f33ec088,4,title|movie_keyword|keyword|name|cast_info,5,308293359,12231.1,3724292,ok,,4,308293359
