metric,T,T_prime
success_rate_T_pct,94.78,100.00
runtime_mean_ms,997.70,2318.13
runtime_median_ms,598.03,2090.55
runtime_p90_ms,2337.50,4245.43
runtime_p99_ms,4202.80,5442.00
join_count_mean,7.51,6.08
join_count_median,7.00,7.00
join_count_emd,0.0000,0.9368
n_tables_mean,7.89,7.08
bytes_read_mean,347821039,137588508
bytes_read_median,352739927,139572015
