query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
23b.sql,10fcaf53,11,"2,3,7,8,9,12,13,14,16,20,21",10,376.503,3773.12,1,ok,,10,365.463
23c.sql,464cf138,11,"1,2,4,6,8,9,10,11,15,16,19",10,691.853,37281.29,,timeout,INTERRUPT Error: Interrupted!,10,365.463
24a.sql,c29a0f6c,12,"1,3,4,5,6,7,8,10,12,14,16,18",11,447.828,1870.38,1,ok,,11,670.451
24b.sql,62c816a6,12,"1,2,4,5,6,7,8,10,12,13,16,18",11,730.437,30306.48,,timeout,INTERRUPT Error: Interrupted!,11,670.451
25a.sql,d1de0acf,9,"1,3,4,5,6,8,9,14,16",8,424.829,3630.37,1,ok,,8,616.048
25b.sql,5c46c3ff,9,"1,2,3,4,6,8,9,14,16",8,690.14,36228.86,,timeout,INTERRUPT Error: Interrupted!,8,616.048
25c.sql,f2b73d5b,9,"1,2,3,4,6,8,9,10,16",8,699.883,37145.75,,timeout,INTERRUPT Error: Interrupted!,8,616.048
26a.sql,b210fec4,12,"1,2,3,4,5,6,8,9,11,14,16,19",11,726.965,36565.27,,timeout,INTERRUPT Error: Interrupted!,11,351.278
26b.sql,aebc6d3a,12,"1,2,3,4,6,8,9,10,11,14,16,19",11,706.378,36460.29,,timeout,INTERRUPT Error: Interrupted!,11,351.278
26c.sql,4b472ca6,12,"1,2,4,5,6,7,8,9,10,11,16,19",11,744.009,37717.81,,timeout,INTERRUPT Error: Interrupted!,11,351.278
27a.sql,4aaa5750,12,"1,2,3,4,6,7,8,12,14,15,16,17",11,702.443,4.94,1,ok,,11,365.583
27b.sql,e49d252e,12,"2,3,6,7,8,9,12,14,15,16,17,21",11,450.175,37118.44,,timeout,INTERRUPT Error: Interrupted!,11,365.583
27c.sql,d88071c6,12,"1,2,3,7,8,12,13,14,15,17,20,21",11,583.049,265.1,1,ok,,11,365.583
28a.sql,20b94c84,14,"1,2,4,6,7,8,9,11,12,13,16,19,20,21",13,704.68,6.19,1,ok,,13,376.503
28b.sql,efbc6bb1,14,"1,2,3,4,5,6,8,9,10,11,14,16,18,19",13,737.782,6.12,1,ok,,13,376.503
28c.sql,b185d4c3,14,"1,2,4,5,6,7,8,9,10,12,13,16,18,20",13,741.478,5.78,1,ok,,13,376.503
29a.sql,311fa67d,17,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,20",16,753.893,2011.12,1,ok,,16,745.083
29b.sql,e2059c09,17,"1,3,4,5,6,7,8,9,10,11,12,13,14,16,18,19,21",16,464.831,35537.01,,timeout,INTERRUPT Error: Interrupted!,16,745.083
29c.sql,1c627bbe,17,"1,2,3,4,5,6,7,8,9,10,12,13,14,16,18,20,21",16,756.123,37440.46,,timeout,INTERRUPT Error: Interrupted!,16,745.083
2a.sql,2ceab5a3,5,"3,7,8,12,14",4,68.208,93.23,1,ok,,4,68.208
2b.sql,677528d1,5,"2,3,8,14,16",4,341.7,172.89,1,ok,,4,68.208
2c.sql,132ba551,5,"3,7,8,12,21",4,67.135,135.54,1,ok,,4,68.208
2d.sql,4c10727e,5,"3,7,8,12,14",4,68.208,116.02,1,ok,,4,68.208
30a.sql,8e60ca51,12,"1,2,3,4,5,6,8,9,10,13,14,16",11,732.9,12960.76,1,ok,,11,616.589
30b.sql,1a6a0fb1,12,"1,2,4,5,6,8,9,10,13,16,18,20",11,718.255,457.26,1,ok,,11,616.589
30c.sql,014a2d1c,12,"1,2,4,5,6,8,9,10,13,16,18,20",11,718.255,279.54,1,ok,,11,616.589
31a.sql,a9dacb50,11,"1,2,4,5,6,7,8,9,12,16,18",10,730.121,35883.89,,timeout,INTERRUPT Error: Interrupted!,10,639.271
31b.sql,c91bde9b,11,"1,3,4,5,6,8,9,10,11,16,19",10,439.994,587.05,1,ok,,10,639.271
31c.sql,fd1339b9,11,"1,2,4,5,6,8,9,10,13,16,20",10,718.255,255.24,1,ok,,10,639.271
32a.sql,ac4f76e2,6,"3,8,13,15,17,20",5,44.572,21.03,1,ok,,5,45.105
32b.sql,633db6e7,6,"3,8,11,15,17,19",5,49.454,22.49,1,ok,,5,45.105
33a.sql,28d9eb1b,14,"2,3,7,8,9,12,13,14,15,16,17,19,20,21",13,376.623,293.63,1,ok,,13,64.723
33b.sql,94955b2f,14,"2,4,6,7,8,9,10,11,12,15,16,17,19,21",13,497.61,31570.15,,timeout,INTERRUPT Error: Interrupted!,13,64.723
33c.sql,19abac21,14,"1,3,7,8,9,11,12,13,14,15,17,19,20,21",13,302.797,58.26,1,ok,,13,64.723
3a.sql,35e8beba,4,"2,3,8,14",3,341.699,152.79,1,ok,,3,341.699
3b.sql,2eed9b47,4,"2,8,9,16",3,338.095,153.2,1,ok,,3,341.699
3c.sql,33b1b67b,4,"2,3,8,14",3,341.699,307.92,1,ok,,3,341.699
4a.sql,dc8ab2b4,5,"3,6,8,9,16",4,129.044,2.51,1,ok,,4,56.026
4b.sql,f8577f41,5,"3,8,9,14,16",4,56.026,75.83,1,ok,,4,56.026
4c.sql,e1a1eeb1,5,"3,8,9,14,16",4,56.026,73.77,1,ok,,4,56.026
5a.sql,b4ed814e,5,"2,4,6,10,16",4,427.465,1.41,1,ok,,4,347.928
5b.sql,442c6c55,5,"2,7,8,9,16",4,358.968,312.14,1,ok,,4,347.928
5c.sql,16b95648,5,"1,2,4,6,16",4,634.115,1179.6,1,ok,,4,347.928
6a.sql,df20cbac,5,"1,4,5,6,18",4,368.803,2710.95,1,ok,,4,308.293
6b.sql,d7cb4dd1,5,"1,3,4,8,14",4,308.293,306.2,1,ok,,4,308.293
6c.sql,0d4f7269,5,"1,2,4,6,16",4,634.115,351.9,1,ok,,4,308.293
6d.sql,3e8ec418,5,"1,3,7,8,14",4,283.324,432.65,1,ok,,4,308.293
6e.sql,180272b1,5,"1,3,4,8,14",4,308.293,1121.41,1,ok,,4,308.293
6f.sql,410cf058,5,"1,8,13,15,17",4,248.466,67.7,1,ok,,4,308.293
7a.sql,90230c9f,8,"1,3,8,11,15,17,18,19",7,266.92,136.49,1,ok,,7,378.676
7b.sql,ffc2bf47,8,"1,3,4,5,8,14,15,18",7,339.817,222.8,1,ok,,7,378.676
7c.sql,51747e3a,8,"1,4,5,8,11,15,17,19",7,330.594,92.43,1,ok,,7,378.676
8a.sql,089c8089,7,"1,5,7,8,9,12,18",6,313.473,188.05,1,ok,,6,327.687
8b.sql,20ea2c49,7,"1,2,4,6,10,16,18",6,644.931,344.65,1,ok,,6,327.687
8c.sql,739431b6,7,"1,4,5,6,8,10,18",6,409.959,38289.32,,timeout,INTERRUPT Error: Interrupted!,6,327.687
8d.sql,52fc4c1e,7,"1,4,7,8,10,12,18",6,327.687,314.79,1,ok,,6,327.687
9a.sql,596a15b3,8,"1,4,6,7,8,9,12,16",7,402.003,1110.86,1,ok,,7,359.091
9b.sql,0c7c3f11,8,"1,4,6,7,8,11,12,18",7,396.385,35471.69,,timeout,INTERRUPT Error: Interrupted!,7,359.091
9c.sql,11d4d313,8,"1,4,6,8,9,10,11,16",7,395.019,708.88,1,ok,,7,359.091
9d.sql,edbaf28f,8,"1,4,5,6,8,9,10,16",7,421.0,38375.59,,timeout,INTERRUPT Error: Interrupted!,7,359.091
fkindexes.sql,0d71e655,1,1,0,217.466,6.71,1,ok,,0,0.0
schema.sql,01193d6b,1,1,0,217.466,70.84,1,ok,,0,0.0
