query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
10a.sql,eb0b0a93,6,char_name|cast_info|company_name|company_type|movie_companies|role_type|title,7,302432232,951.84,1,ok,
10b.sql,3c53ed8d,6,char_name|cast_info|company_name|company_type|movie_companies|role_type|title,7,302432232,384.52,1,ok,
10c.sql,78a61b9f,6,char_name|cast_info|company_name|company_type|movie_companies|role_type|title,7,302432232,3626.0,1,ok,
11a.sql,766ea53f,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,129.0,1,ok,
11b.sql,5b9d12db,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,65.44,1,ok,
11c.sql,348c481b,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,560.79,1,ok,
11d.sql,2716323c,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,1739.85,1,ok,
12a.sql,99f662e1,7,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,7,361317773,326.91,1,ok,
12b.sql,7537d82e,7,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,7,361317773,689.06,1,ok,
12c.sql,5513caec,7,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,7,361317773,368.87,1,ok,
13a.sql,83d370e0,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,334.45,1,ok,
13b.sql,58c0c873,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,546.26,1,ok,
13c.sql,ef2a4338,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,336.72,1,ok,
13d.sql,e9f11c44,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,439.62,1,ok,
14a.sql,69fdba0a,7,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,7,352739927,260.43,1,ok,
14b.sql,c68a8f1a,7,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,7,352739927,165.01,1,ok,
14c.sql,b83f197f,7,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,7,352739927,386.38,1,ok,
15a.sql,f693f8a8,8,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,9,370344723,5.06,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15b.sql,4c97a2ac,8,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,9,370344723,0.46,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15c.sql,63d8d641,8,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,9,370344723,0.39,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
15d.sql,8c68dcca,8,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,9,370344723,0.3,,error,"Parser Error: syntax error at or near "".""

LINE 1: SELECT MIN(at.title) AS aka_title,
                     ^"
16a.sql,5489c672,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,386.35,1,ok,
16b.sql,86632023,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,4210.22,1,ok,
16c.sql,ce573ba0,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,1119.75,1,ok,
16d.sql,45d188c3,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,822.71,1,ok,
17a.sql,084ad1c2,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,1878.87,1,ok,
17b.sql,64d9d260,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,3880.23,1,ok,
17c.sql,56013e31,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,4117.44,1,ok,
17d.sql,a9ffa97f,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,2385.84,1,ok,
17e.sql,6825a8ca,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,1982.1,1,ok,
17f.sql,407dd45c,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,3976.64,1,ok,
18a.sql,165642a1,6,cast_info|info_type|movie_info|movie_info_idx|name|title,6,601403228,2027.27,1,ok,
18b.sql,daf4a211,6,cast_info|info_type|movie_info|movie_info_idx|name|title,6,601403228,1619.12,1,ok,
18c.sql,90d787b4,6,cast_info|info_type|movie_info|movie_info_idx|name|title,6,601403228,3187.07,1,ok,
19a.sql,84ecdb98,9,aka_name|char_name|cast_info|company_name|info_type|movie_companies|movie_info|name|role_type|title,10,655805480,1744.87,1,ok,
19b.sql,412d7fc0,9,aka_name|char_name|cast_info|company_name|info_type|movie_companies|movie_info|name|role_type|title,10,655805480,934.07,1,ok,
