query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
30b.sql,False,0.375,cast_info|comp_cast_type|complete_cast|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,aka_title|cast_info|char_name|comp_cast_type|complete_cast|kind_type|link_type|movie_companies|movie_info_idx|movie_keyword|movie_link|title,info_type|keyword|movie_info|name,aka_title|char_name|kind_type|link_type|movie_companies|movie_link,10,12,11,ok
30c.sql,False,0.571,cast_info|comp_cast_type|complete_cast|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,aka_name|aka_title|cast_info|comp_cast_type|complete_cast|info_type|movie_info|movie_info_idx|movie_link|name|role_type|title,keyword|movie_keyword,aka_name|aka_title|movie_link|role_type,10,12,11,ok
31a.sql,False,0.312,cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_info_idx|movie_keyword|name|title,aka_name|aka_title|cast_info|char_name|kind_type|movie_companies|movie_info_idx|movie_link|name|role_type|title,company_name|info_type|keyword|movie_info|movie_keyword,aka_name|aka_title|char_name|kind_type|movie_link|role_type,10,11,10,ok
31b.sql,False,0.312,cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_info_idx|movie_keyword|name|title,cast_info|char_name|comp_cast_type|complete_cast|kind_type|link_type|movie_info|movie_info_idx|movie_link|name|title,company_name|info_type|keyword|movie_companies|movie_keyword,char_name|comp_cast_type|complete_cast|kind_type|link_type|movie_link,10,11,10,ok
31c.sql,False,0.312,cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_info_idx|movie_keyword|name|title,aka_title|cast_info|char_name|info_type|kind_type|movie_info_idx|movie_link|name|person_info|role_type|title,company_name|keyword|movie_companies|movie_info|movie_keyword,aka_title|char_name|kind_type|movie_link|person_info|role_type,10,11,10,ok
32a.sql,False,0.571,keyword|link_type|movie_keyword|movie_link|title,keyword|kind_type|movie_companies|movie_keyword|movie_link|title,link_type,kind_type|movie_companies,5,6,5,ok
32b.sql,False,0.375,keyword|link_type|movie_keyword|movie_link|title,aka_title|keyword|movie_companies|movie_info_idx|movie_keyword|title,link_type|movie_link,aka_title|movie_companies|movie_info_idx,5,6,5,ok
33a.sql,False,0.375,company_name|info_type|kind_type|link_type|movie_companies|movie_info_idx|movie_link|title,aka_title|cast_info|char_name|company_name|company_type|kind_type|link_type|movie_companies|movie_info|movie_keyword|movie_link|name|role_type|title,info_type|movie_info_idx,aka_title|cast_info|char_name|company_type|movie_info|movie_keyword|name|role_type,8,14,13,ok
33b.sql,False,0.294,company_name|info_type|kind_type|link_type|movie_companies|movie_info_idx|movie_link|title,aka_title|cast_info|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_info_idx|movie_keyword|name|person_info|role_type|title,kind_type|link_type|movie_link,aka_title|cast_info|company_type|keyword|movie_info|movie_keyword|name|person_info|role_type,8,14,13,ok
33c.sql,False,0.375,company_name|info_type|kind_type|link_type|movie_companies|movie_info_idx|movie_link|title,cast_info|char_name|company_name|company_type|complete_cast|keyword|link_type|movie_companies|movie_info_idx|movie_keyword|movie_link|name|person_info|title,info_type|kind_type,cast_info|char_name|company_type|complete_cast|keyword|movie_keyword|name|person_info,8,14,13,ok
3a.sql,False,0.6,keyword|movie_info|movie_keyword|title,keyword|movie_keyword|movie_link|title,movie_info,movie_link,4,4,3,ok
3b.sql,False,0.6,keyword|movie_info|movie_keyword|title,keyword|movie_companies|movie_keyword|title,movie_info,movie_companies,4,4,3,ok
3c.sql,True,1.0,keyword|movie_info|movie_keyword|title,keyword|movie_info|movie_keyword|title,,,4,4,3,ok
4a.sql,False,0.25,info_type|keyword|movie_info_idx|movie_keyword|title,info_type|movie_info|name|person_info|title,keyword|movie_info_idx|movie_keyword,movie_info|name|person_info,5,5,4,ok
4b.sql,False,0.429,info_type|keyword|movie_info_idx|movie_keyword|title,info_type|movie_info|movie_info_idx|person_info|title,keyword|movie_keyword,movie_info|person_info,5,5,4,ok
4c.sql,False,0.429,info_type|keyword|movie_info_idx|movie_keyword|title,info_type|movie_info|movie_info_idx|person_info|title,keyword|movie_keyword,movie_info|person_info,5,5,4,ok
5a.sql,False,0.429,company_type|info_type|movie_companies|movie_info|title,aka_title|company_type|complete_cast|movie_companies|title,info_type|movie_info,aka_title|complete_cast,5,5,4,ok
5b.sql,False,0.429,company_type|info_type|movie_companies|movie_info|title,aka_title|company_type|kind_type|movie_companies|title,info_type|movie_info,aka_title|kind_type,5,5,4,ok
5c.sql,False,0.667,company_type|info_type|movie_companies|movie_info|title,company_type|movie_companies|movie_info|movie_info_idx|title,info_type,movie_info_idx,5,5,4,ok
6a.sql,False,0.25,cast_info|keyword|movie_keyword|name|title,cast_info|complete_cast|movie_info_idx|role_type|title,keyword|movie_keyword|name,complete_cast|movie_info_idx|role_type,5,5,4,ok
6b.sql,False,0.25,cast_info|keyword|movie_keyword|name|title,cast_info|char_name|complete_cast|role_type|title,keyword|movie_keyword|name,char_name|complete_cast|role_type,5,5,4,ok
6c.sql,False,0.429,cast_info|keyword|movie_keyword|name|title,cast_info|char_name|name|role_type|title,keyword|movie_keyword,char_name|role_type,5,5,4,ok
6d.sql,False,0.25,cast_info|keyword|movie_keyword|name|title,aka_title|cast_info|char_name|kind_type|title,keyword|movie_keyword|name,aka_title|char_name|kind_type,5,5,4,ok
6e.sql,False,0.25,cast_info|keyword|movie_keyword|name|title,cast_info|char_name|movie_companies|movie_link|title,keyword|movie_keyword|name,char_name|movie_companies|movie_link,5,5,4,ok
6f.sql,False,0.429,cast_info|keyword|movie_keyword|name|title,cast_info|movie_companies|movie_info_idx|movie_keyword|title,keyword|name,movie_companies|movie_info_idx,5,5,4,ok
7a.sql,False,0.455,aka_name|cast_info|info_type|link_type|movie_link|name|person_info|title,aka_name|cast_info|char_name|complete_cast|movie_keyword|name|person_info|title,info_type|link_type|movie_link,char_name|complete_cast|movie_keyword,8,8,7,ok
7b.sql,False,0.455,aka_name|cast_info|info_type|link_type|movie_link|name|person_info|title,aka_name|cast_info|char_name|info_type|movie_info|movie_info_idx|name|person_info,link_type|movie_link|title,char_name|movie_info|movie_info_idx,8,8,7,ok
7c.sql,False,0.455,aka_name|cast_info|info_type|link_type|movie_link|name|person_info|title,aka_name|cast_info|char_name|info_type|movie_info_idx|name|person_info|role_type,link_type|movie_link|title,char_name|movie_info_idx|role_type,8,8,7,ok
8a.sql,False,0.273,aka_name|cast_info|company_name|movie_companies|name|role_type|title,aka_name|cast_info|info_type|movie_info|movie_info_idx|name|person_info,company_name|movie_companies|role_type|title,info_type|movie_info|movie_info_idx|person_info,7,7,6,ok
8b.sql,False,0.75,aka_name|cast_info|company_name|movie_companies|name|role_type|title,aka_name|cast_info|movie_companies|name|person_info|role_type|title,company_name,person_info,7,7,6,ok
8c.sql,False,0.4,aka_name|cast_info|company_name|movie_companies|name|role_type|title,aka_name|cast_info|info_type|movie_info|name|person_info|role_type,company_name|movie_companies|title,info_type|movie_info|person_info,7,7,6,ok
8d.sql,False,0.4,aka_name|cast_info|company_name|movie_companies|name|role_type|title,aka_name|cast_info|char_name|movie_keyword|name|person_info|title,company_name|movie_companies|role_type,char_name|movie_keyword|person_info,7,7,6,ok
9a.sql,False,0.333,aka_name|cast_info|char_name|company_name|movie_companies|name|role_type|title,aka_name|cast_info|info_type|kind_type|movie_info|name|person_info|title,char_name|company_name|movie_companies|role_type,info_type|kind_type|movie_info|person_info,8,8,7,ok
9b.sql,False,0.333,aka_name|cast_info|char_name|company_name|movie_companies|name|role_type|title,aka_name|cast_info|info_type|movie_info|movie_info_idx|name|person_info|title,char_name|company_name|movie_companies|role_type,info_type|movie_info|movie_info_idx|person_info,8,8,7,ok
9c.sql,False,0.231,aka_name|cast_info|char_name|company_name|movie_companies|name|role_type|title,aka_name|aka_title|info_type|movie_info|movie_info_idx|name|person_info|title,cast_info|char_name|company_name|movie_companies|role_type,aka_title|info_type|movie_info|movie_info_idx|person_info,8,8,7,ok
9d.sql,False,0.455,aka_name|cast_info|char_name|company_name|movie_companies|name|role_type|title,aka_name|cast_info|char_name|info_type|movie_info|name|person_info|role_type,company_name|movie_companies|title,info_type|movie_info|person_info,8,8,7,ok
fkindexes.sql,False,0.0,,aka_name,,aka_name,0,1,0,ok
schema.sql,False,0.0,,aka_name,,aka_name,0,1,0,ok
