query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q89.sql,3b008fc9,14,"2,3,4,5,6,8,10,11,12,13,15,17,20,22",13,86.748,178.38,1,ok,,13,38.963
q90.sql,40f8b931,4,"2,9,15,20",3,37.993,42.57,1,ok,,3,0.548
q91.sql,f4da154b,7,"3,5,7,8,10,12,13",6,27.154,25.7,1,ok,,6,16.669
q92.sql,206b4027,3,"5,13,17",2,10.522,11.91,1,ok,,2,11.982
q93.sql,fca3f4d5,5,"4,5,6,13,15",4,33.319,102.57,1,ok,,4,2.612
q94.sql,af707ab5,4,"4,5,10,14",3,31.855,4.96,1,ok,,3,12.283
q95.sql,fd833f8f,2,"5,10",1,11.532,2.46,1,ok,,1,10.071
q96.sql,cd014775,4,"2,6,9,22",3,40.552,30021.74,,timeout,INTERRUPT Error: Interrupted!,3,37.993
q97.sql,b4186e76,3,"2,8,15",2,39.074,36.82,1,ok,,2,38.914
q98.sql,cc07a5e8,3,"2,10,11",2,39.552,3.17,1,ok,,2,39.356
q99.sql,1484fda4,8,"4,5,6,7,8,10,12,13",7,38.398,13.75,1,ok,,7,21.651
