query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
q79.sql,False,0.182,date_dim|household_demographics|ss_customer_sk|store|sum,catalog_sales|customer_address|date_dim|inventory|item|store|store_sales|web_sales,household_demographics|ss_customer_sk|sum,catalog_sales|customer_address|inventory|item|store_sales|web_sales,5,8,7,ok
q80.sql,False,0.333,catalog_returns|store_returns|store_sales|web_returns,customer|customer_address|store_returns|web_returns,catalog_returns|store_sales,customer|customer_address,4,4,3,ok
q81.sql,False,0.5,catalog_returns|customer_address|date_dim,catalog_page|catalog_returns|date_dim,customer_address,catalog_page,3,3,2,ok
q82.sql,False,0.333,date_dim|inventory|item|store_sales,item|store_sales|web_sales|web_site,date_dim|inventory,web_sales|web_site,4,4,3,ok
q83.sql,False,0.5,date_dim|item|store_returns,inventory|item|store_returns,date_dim,inventory,3,3,2,ok
q84.sql,False,0.2,customer|customer_address|customer_demographics|household_demographics|income_band|store_returns,catalog_sales|customer|customer_address|item|web_returns|web_sales,customer_demographics|household_demographics|income_band|store_returns,catalog_sales|item|web_returns|web_sales,6,6,5,ok
q85.sql,False,0.5,customer_address|customer_demographics|date_dim|reason|web_page|web_returns|web_sales,catalog_returns|catalog_sales|customer_address|customer_demographics|date_dim|web_returns|web_sales|web_site,reason|web_page,catalog_returns|catalog_sales|web_site,7,8,7,ok
q86.sql,False,0.2,date_dim|item|web_sales,customer|customer_address|web_sales,date_dim|item,customer|customer_address,3,3,2,ok
q87.sql,False,0.125,c_first_name|customer|d_date|date_dim,catalog_sales|date_dim|promotion|web_page|web_sales,c_first_name|customer|d_date,catalog_sales|promotion|web_page|web_sales,4,5,4,ok
q88.sql,False,0.167,household_demographics|store|time_dim,customer|household_demographics|store_sales|web_returns,store|time_dim,customer|store_sales|web_returns,3,4,3,ok
q89.sql,False,0.143,avg|d_moy|date_dim|i_brand|i_class|s_company_name|s_store_name|store|store_sales|sum,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|inventory|item|store|store_returns|store_sales|time_dim|web_page|web_sales,avg|d_moy|i_brand|i_class|s_company_name|s_store_name|sum,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|inventory|item|store_returns|time_dim|web_page|web_sales,10,14,13,ok
q90.sql,False,0.167,household_demographics|time_dim|web_page,customer|household_demographics|income_band|web_sales,time_dim|web_page,customer|income_band|web_sales,3,4,3,ok
q91.sql,False,0.143,call_center|catalog_returns|customer|customer_address|customer_demographics|date_dim|household_demographics,call_center,catalog_returns|customer|customer_address|customer_demographics|date_dim|household_demographics,,7,1,6,ok
q92.sql,False,0.2,date_dim|item|web_sales,catalog_sales|customer|web_sales,date_dim|item,catalog_sales|customer,3,3,2,ok
q93.sql,False,0.125,case|ss_customer_sk|ss_ticket_number|store_returns,household_demographics|inventory|item|store_returns|store_sales,case|ss_customer_sk|ss_ticket_number,household_demographics|inventory|item|store_sales,4,5,4,ok
q94.sql,False,0.333,customer_address|date_dim|web_sales|web_site,customer_demographics|date_dim|web_returns|web_sales,customer_address|web_site,customer_demographics|web_returns,4,4,3,ok
q95.sql,False,0.5,web_sales,customer|web_sales,,customer,1,2,1,ok
q96.sql,False,0.143,household_demographics|store|store_sales|time_dim,customer_address|date_dim|store_returns|store_sales,household_demographics|store|time_dim,customer_address|date_dim|store_returns,4,4,3,ok
q97.sql,False,0.2,csci|date_dim|store_sales,item|store_returns|store_sales,csci|date_dim,item|store_returns,3,3,2,ok
q98.sql,False,0.2,date_dim|item|store_sales,customer|store|store_sales,date_dim|item,customer|store,3,3,2,ok
q99.sql,False,0.091,call_center|catalog_sales|date_dim|ship_mode,catalog_sales|customer|customer_address|customer_demographics|item|store_returns|store_sales|web_sales,call_center|date_dim|ship_mode,customer|customer_address|customer_demographics|item|store_returns|store_sales|web_sales,4,8,7,ok
