workload,n_pairs,mean_speedup,median_speedup,std_speedup,cv_speedup,min_speedup,max_speedup,p10_speedup,p90_speedup
W_original,22,2.937,2.841,1.202,0.409,1.157,4.885,1.332,4.48
W'_synthetic,18,1.072,1.036,0.159,0.149,0.826,1.639,0.972,1.178
